title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
UnweaveNet: Unweaving Activity Stories,2022,CVPR,Will Price;Carl Vondrick;Dima Damen,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Price_UnweaveNet_Unweaving_Activity_Stories_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=UnweaveNet:+Unweaving+Activity+Stories
"A Comprehensive Study of Image Classification Model Sensitivity to Foregrounds, Backgrounds, and Visual Attributes",2022,CVPR,Mazda Moayeri;Phillip Pope;Yogesh Balaji;Soheil Feizi,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Moayeri_A_Comprehensive_Study_of_Image_Classification_Model_Sensitivity_to_Foregrounds_CVPR_2022_paper.pdf,llm,"https://scholar.google.com/scholar?q=A+Comprehensive+Study+of+Image+Classification+Model+Sensitivity+to+Foregrounds,+Backgrounds,+and+Visual+Attributes"
Dual-AI: Dual-Path Actor Interaction Learning for Group Activity Recognition,2022,CVPR,Mingfei Han;David Junhao Zhang;Yali Wang;Rui Yan;Lina Yao;Xiaojun Chang;Yu Qiao,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Han_Dual-AI_Dual-Path_Actor_Interaction_Learning_for_Group_Activity_Recognition_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Dual-AI:+Dual-Path+Actor+Interaction+Learning+for+Group+Activity+Recognition
Conditional Prompt Learning for Vision-Language Models,2022,CVPR,Kaiyang Zhou;Jingkang Yang;Chen Change Loy;Ziwei Liu,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Zhou_Conditional_Prompt_Learning_for_Vision-Language_Models_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Conditional+Prompt+Learning+for+Vision-Language+Models
Pyramid Adversarial Training Improves ViT Performance,2022,CVPR,Charles Herrmann;Kyle Sargent;Lu Jiang;Ramin Zabih;Huiwen Chang;Ce Liu;Dilip Krishnan;Deqing Sun,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Herrmann_Pyramid_Adversarial_Training_Improves_ViT_Performance_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Pyramid+Adversarial+Training+Improves+ViT+Performance
DenseCLIP: Language-Guided Dense Prediction With Context-Aware Prompting,2022,CVPR,Yongming Rao;Wenliang Zhao;Guangyi Chen;Yansong Tang;Zheng Zhu;Guan Huang;Jie Zhou;Jiwen Lu,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Rao_DenseCLIP_Language-Guided_Dense_Prediction_With_Context-Aware_Prompting_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=DenseCLIP:+Language-Guided+Dense+Prediction+With+Context-Aware+Prompting
"JRDB-Act: A Large-Scale Dataset for Spatio-Temporal Action, Social Group and Activity Detection",2022,CVPR,Mahsa Ehsanpour;Fatemeh Saleh;Silvio Savarese;Ian Reid;Hamid Rezatofighi,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Ehsanpour_JRDB-Act_A_Large-Scale_Dataset_for_Spatio-Temporal_Action_Social_Group_and_CVPR_2022_paper.pdf,llm,"https://scholar.google.com/scholar?q=JRDB-Act:+A+Large-Scale+Dataset+for+Spatio-Temporal+Action,+Social+Group+and+Activity+Detection"
Causal Prediction Can Induce Performative Stability,2022,ICML,['Bogdan Kulynych'],poster,"['performative prediction', 'causal features']","Predictive models affect the world through inducing a strategic response or reshaping the environment in which they are deployed---a property called performativity. This results in the need to constantly adapt and re-design the model. We formalize one possible mechanism through which performativity can arise using the language of causal modeling. We show that using features which form a Markov blanket of the target variable for prediction closes the feedback loop in this setting. Thus, a predictive model that takes as input such causal features might not require any further adaptation after deployment even if it changes the environment.",https://api.openreview.net/pdf/1a0415d75c8525c31b22306ebc9d5c87a0df977b.pdf,llm,https://scholar.google.com/scholar?q=Causal+Prediction+Can+Induce+Performative+Stability
From Kepler to Newton: Explainable AI for Science Discovery,2022,ICML,"['Zelong Li', 'Jianchao Ji', 'Yongfeng Zhang']",poster,"['Explainable AI', 'Science Discovery', 'Scientific Method', 'Technological Singularity', 'Human and Nature']","The Observation --- Hypothesis --- Prediction --- Experimentation loop paradigm for scientific research has been practiced by researchers for years towards scientific discoveries. However, with data explosion in both mega-scale and milli-scale research, it has been sometimes very difficult to manually analyze the data and propose new hypotheses to drive the cycle for scientific discovery.
In this paper, we discuss the role of Explainable AI in scientific discovery process by demonstrating an Explainable AI-based paradigm for science discovery. The key is to use Explainable AI to help derive data or model interpretations, hypotheses, as well as scientific discoveries or insights. We show how computational and data-intensive methodology---together with experimental and theoretical methodology---can be seamlessly integrated for scientific research. To demonstrate the AI-based science discovery process, and to pay our respect to some of the greatest minds in human history, we show how Kepler's laws of planetary motion and Newton's law of universal gravitation can be rediscovered by (Explainable) AI based on Tycho Brahe's astronomical observation data, whose works were leading the scientific revolution in the 16-17th century. This work also highlights the important role of Explainable AI (as compared to Blackbox AI) in science discovery to help humans prevent or better prepare for the possible technological singularity that may happen in the future, since science is not only about the know how, but also the know why.",https://api.openreview.net/pdf/ab0ae14763754c5ae34a50a68f1303185d8ed8a9.pdf,llm,https://scholar.google.com/scholar?q=From+Kepler+to+Newton:+Explainable+AI+for+Science+Discovery
Prompt Certified Machine Unlearning with Randomized Gradient Smoothing and Quantization,2022,NIPS,"['Zijie Zhang', 'Yang Zhou', 'Xin Zhao', 'Tianshi Che', 'Lingjuan Lyu']",poster,"['Certified machine unlearning', 'randomized gradient smoothing', 'gradient quantization', 'theoretical guarantee', 'prompt unlearning']","The right to be forgotten calls for efficient machine unlearning techniques that make trained machine learning models forget a cohort of data. The combination of training and unlearning operations in traditional machine unlearning methods often leads to the expensive computational cost on large-scale data. This paper presents a prompt certified machine unlearning algorithm, PCMU, which executes one-time operation of simultaneous training and unlearning in advance for a series of machine unlearning requests, without the knowledge of the removed/forgotten data. First, we establish a connection between randomized smoothing for certified robustness on classification and randomized smoothing for certified machine unlearning on gradient quantization. Second, we propose a prompt certified machine unlearning model based on randomized data smoothing and gradient quantization. We theoretically derive the certified radius R regarding the data change before and after data removals and the certified budget of data removals about R. Last but not least, we present another practical framework of randomized gradient smoothing and quantization, due to the dilemma of producing high confidence certificates in the first framework. We theoretically demonstrate the certified radius R' regarding the gradient change, the correlation between two types of certified radii, and the certified budget of data removals about R'. ",https://api.openreview.net/pdf/1bb465dd4bd4e92ca20c6267bf92d11fa9b835aa.pdf,llm,https://scholar.google.com/scholar?q=Prompt+Certified+Machine+Unlearning+with+Randomized+Gradient+Smoothing+and+Quantization
Autoformalization with Large Language Models,2022,NIPS,"['Yuhuai Wu', 'Albert Qiaochu Jiang', 'Wenda Li', 'Markus Norman Rabe', 'Charles E Staats', 'Mateja Jamnik', 'Christian Szegedy']",poster,"['Large language models', 'Autoformalization', 'Formal Math', 'miniF2F.']","Autoformalization is the process of automatically translating from natural language mathematics to formal specifications and proofs. A successful autoformalization system could advance the fields of formal verification, program synthesis, and artificial intelligence.
While the long-term goal of autoformalization seemed elusive for a long time, we show large language models provide new prospects towards this goal. We make the surprising observation that LLMs can correctly translate a significant portion ($25.3\%$) of mathematical competition problems perfectly to formal specifications in Isabelle/HOL. We demonstrate the usefulness of this process by improving a previously introduced neural theorem prover via training on these autoformalized theorems. Our methodology results in a new state-of-the-art result on the MiniF2F theorem proving benchmark, improving the proof rate from~$29.6\%$ to~$35.2\%$.",https://api.openreview.net/pdf/51c4ad17de2b76b8e59b8d486a53165e6c650a4e.pdf,llm,https://scholar.google.com/scholar?q=Autoformalization+with+Large+Language+Models
Fine-tuning language models to find agreement among humans with diverse preferences,2022,NIPS,"['Michiel A. Bakker', 'Martin J Chadwick', 'Hannah Sheahan', 'Michael Henry Tessler', 'Lucy Campbell-Gillingham', 'Jan Balaguer', 'Nat McAleese', 'Amelia Glaese', 'John Aslanides', 'Matthew Botvinick', 'Christopher Summerfield']",poster,"['large language models', 'LLMs', 'alignment', 'NLP', 'fine-tuning', 'reward modelling', 'preference modelling', 'human-centered AI']","Recent work in large language modeling (LLMs) has used fine-tuning to align outputs with the preferences of a prototypical user. This work assumes that human preferences are static and homogeneous across individuals, so that aligning to a single ""generic"" user will confer more general alignment. Here, we embrace the heterogeneity of human preferences to consider a different challenge: how might a machine help people with diverse views find agreement? We fine-tune a 70 billion parameter LLM to generate statements that maximize the expected approval for a group of people with potentially diverse opinions. Human participants provide written opinions on thousands of questions touching on moral and political issues (e.g., ""should we raise taxes on the rich?""), and rate the LLM's generated candidate consensus statements for agreement and quality. A reward model is then trained to predict individual preferences, enabling it to quantify and rank consensus statements in terms of their appeal to the overall group, defined according to different aggregation (social welfare) functions. The model produces consensus statements that are preferred by human users over those from prompted LLMs ($>70\%$) and significantly outperforms a tight fine-tuned baseline that lacks the final ranking step. Further, our best model's consensus statements are preferred over the best human-generated opinions ($>65\%$). We find that when we silently constructed consensus statements from only a subset of group members, those who were excluded were more likely to dissent, revealing the sensitivity of the consensus to individual contributions. These results highlight the potential to use LLMs to help groups of humans align their values with one another.",https://api.openreview.net/pdf/fde9d1ed13707b7018f8ffa9dcf20ea356556b21.pdf,llm,https://scholar.google.com/scholar?q=Fine-tuning+language+models+to+find+agreement+among+humans+with+diverse+preferences
SoftPatch: Unsupervised Anomaly Detection with Noisy Data,2022,NIPS,"['Jiang Xi', 'Jianlin Liu', 'Jinbao Wang', 'Qiang Nie', 'Kai WU', 'Yong Liu', 'Chengjie Wang', 'Feng Zheng']",poster,"['Anomaly Detection', 'Noisy Label', 'Outlier Detection']","Although mainstream unsupervised anomaly detection (AD) algorithms perform well in academic datasets, their performance is limited in practical application due to the ideal experimental setting of clean training data. Training with noisy data is an inevitable problem in real-world anomaly detection but is seldom discussed. This paper considers label-level noise in image sensory anomaly detection for the first time. To solve this problem, we proposed a memory-based unsupervised AD method, SoftPatch, which efficiently denoises the data at the patch level. Noise discriminators are utilized to generate outlier scores for patch-level noise elimination before coreset construction. The scores are then stored in the memory bank to soften the anomaly detection boundary. Compared with existing methods, SoftPatch maintains a strong modeling ability of normal data and alleviates the overconfidence problem in coreset. Comprehensive experiments in various noise scenes demonstrate that SoftPatch outperforms the state-of-the-art AD methods on the MVTecAD and BTAD benchmarks and is comparable to those methods under the setting without noise.",https://api.openreview.net/pdf/c9ac87f209016e331b8a7096676670bc741354b3.pdf,llm,https://scholar.google.com/scholar?q=SoftPatch:+Unsupervised+Anomaly+Detection+with+Noisy+Data
Counterfactual Neural Temporal Point Process for Estimating Causal Influence of Misinformation on Social Media,2022,NIPS,"['Yizhou Zhang', 'Defu Cao', 'Yan Liu']",poster,"['Causal Inference', 'Temporal Point Process', 'Misinformation Influence', 'Counterfactual Analysis', 'Fake News', 'Social Media', 'Deep Learning']","Recent years have witnessed the rise of misinformation campaigns that spread specific narratives on social media to manipulate public opinions on different areas, such as politics and healthcare. Consequently, an effective and efficient automatic methodology to estimate the influence of the misinformation on user beliefs and activities is needed. However, existing works on misinformation impact estimation either rely on small-scale psychological experiments or can only discover the correlation between user behaviour and misinformation. To address these issues, in this paper, we build up a causal framework that model the causal effect of misinformation from the perspective of temporal point process. To adapt the large-scale data, we design an efficient yet precise way to estimate the \textbf{Individual Treatment Effect} (ITE) via neural temporal point process and gaussian mixture models. Extensive experiments on synthetic dataset verify the effectiveness and efficiency of our model. We further apply our model on a real-world dataset of social media posts and engagements about COVID-19 vaccines. The experimental results indicate that our model recognized identifiable causal effect of misinformation that hurts people's subjective emotions toward the vaccines.",https://api.openreview.net/pdf/e5410e2b83f80dd34e01e8d79d6deeafeff11af4.pdf,llm,https://scholar.google.com/scholar?q=Counterfactual+Neural+Temporal+Point+Process+for+Estimating+Causal+Influence+of+Misinformation+on+Social+Media
On Scrambling Phenomena for Randomly Initialized Recurrent Networks ,2022,NIPS,"['Vaggos Chatziafratis', 'Ioannis Panageas', 'Clayton Sanford', 'Stelios Andrew Stavroulakis']",poster,"['RNNs', 'Scrambling', 'Jacobian', 'dynamical systems', 'trajectories', 'chaos', 'initialization', 'recurrent networks']","Recurrent Neural Networks (RNNs) frequently exhibit complicated dynamics, and their sensitivity to the initialization process often renders them notoriously hard to train. Recent works have shed light on such phenomena analyzing when exploding or vanishing gradients may occur, either of which is detrimental for training dynamics. In this paper, we point to a formal connection between RNNs and chaotic dynamical systems and prove a qualitatively stronger phenomenon about RNNs than what exploding gradients seem to suggest. Our main result proves that under standard initialization (e.g., He, Xavier etc.), RNNs will exhibit \textit{Li-Yorke chaos} with \textit{constant} probability \textit{independent} of the network's width. This explains the experimentally observed phenomenon of \textit{scrambling}, under which trajectories of nearby points may appear to be arbitrarily close during some timesteps, yet will be far away in future timesteps. In stark contrast to their feedforward counterparts, we show that chaotic behavior in RNNs is preserved under small perturbations and that their expressive power remains exponential in the number of feedback iterations. Our technical arguments rely on viewing RNNs as random walks under non-linear activations, and studying the existence of certain types of higher-order fixed points called \textit{periodic points} in order to establish phase transitions from order to chaos.",https://api.openreview.net/pdf/5bb1c9f65a31c1e072674bdc912e15b18b40b686.pdf,llm,https://scholar.google.com/scholar?q=On+Scrambling+Phenomena+for+Randomly+Initialized+Recurrent+Networks+
MACE: Higher Order Equivariant Message Passing Neural Networks for Fast and Accurate Force Fields,2022,NIPS,"['Ilyes Batatia', 'David Peter Kovacs', 'Gregor N. C. Simm', 'Christoph Ortner', 'Gabor Csanyi']",poster,"['GNN', 'graph neural network', 'equivariance', 'higher order', 'message passing neural network', 'point clouds', 'molecules']","Creating fast and accurate force fields is a long-standing challenge in computational chemistry and materials science. Recently, Equivariant Message Passing Neural Networks (MPNNs) have emerged as a powerful tool for building machine learning interatomic potentials, outperforming other approaches in terms of accuracy. However, they suffer from high computational cost and poor scalability. Moreover, most MPNNs only pass two-body messages leading to an intricate relationship between the number of layers and the expressivity of the features. This work introduces MACE, a new equivariant MPNN model that uses higher order messages, and demonstrates that this leads to an improved learning law. We show that by using four-body messages, the required number of message passing iterations reduces to just one, resulting in a fast and highly parallelizable model, reaching or exceeding state of the art accuracy on the rMD17 and 3BPA benchmark tasks. Our implementation is available at https://github.com/ACEsuit/mace.",https://api.openreview.net/pdf/a1ade50912bdaaf92de0d04429aead357c05975c.pdf,llm,https://scholar.google.com/scholar?q=MACE:+Higher+Order+Equivariant+Message+Passing+Neural+Networks+for+Fast+and+Accurate+Force+Fields
Single-phase deep learning in cortico-cortical networks,2022,NIPS,"['Will Greedy', 'Heng Wei Zhu', 'Joseph Oliver Pemberton', 'Jack Mellor', 'Rui Ponte Costa']",poster,"['cortical microcircuits', 'deep learning', 'synaptic plasticity', 'biologically plausible learning', 'neuroscience']","The error-backpropagation (backprop) algorithm remains the most common solution to the credit assignment problem in artificial neural networks. In neuroscience, it is unclear whether the brain could adopt a similar strategy to correctly modify its synapses. Recent models have attempted to bridge this gap while being consistent with a range of experimental observations. However, these models are either unable to effectively backpropagate error signals across multiple layers or require a multi-phase learning process, neither of which are reminiscent of learning in the brain. Here, we introduce a new model, Bursting Cortico-Cortical Networks (BurstCCN), which solves these issues by integrating known properties of cortical networks namely bursting activity, short-term plasticity (STP) and dendrite-targeting interneurons. BurstCCN relies on burst multiplexing via connection-type-specific STP to propagate backprop-like error signals within deep cortical networks. These error signals are encoded at distal dendrites and induce burst-dependent plasticity as a result of excitatory-inhibitory top-down inputs. First, we demonstrate that our model can effectively backpropagate errors through multiple layers using a single-phase learning process. Next, we show both empirically and analytically that learning in our model approximates backprop-derived gradients. Finally, we demonstrate that our model is capable of learning complex image classification tasks (MNIST and CIFAR-10). Overall, our results suggest that cortical features across sub-cellular, cellular, microcircuit and systems levels jointly underlie single-phase efficient deep learning in the brain.",https://api.openreview.net/pdf/38d05ea1f460e815411925394853516bb2feed62.pdf,llm,https://scholar.google.com/scholar?q=Single-phase+deep+learning+in+cortico-cortical+networks
Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,NIPS,"['Jason Wei', 'Xuezhi Wang', 'Dale Schuurmans', 'Maarten Bosma', 'brian ichter', 'Fei Xia', 'Ed H. Chi', 'Quoc V Le', 'Denny Zhou']",poster,"['Language models', 'natural language processing', 'reasoning']","We explore how generating a chain of thought---a series of intermediate reasoning steps---significantly improves the ability of large language models to perform complex reasoning. In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called chain of thought prompting, where a few chain of thought demonstrations are provided as exemplars in prompting. Experiments on three large language models show that chain of thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks. The empirical gains can be striking. For instance, prompting a 540B-parameter language model with just eight chain of thought exemplars achieves state of the art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.",https://api.openreview.net/pdf/69e0946271fd64932a087332874bd380fd2152a3.pdf,llm,https://scholar.google.com/scholar?q=Chain-of-Thought+Prompting+Elicits+Reasoning+in+Large+Language+Models
Momentum Aggregation for Private Non-convex ERM,2022,NIPS,"['Hoang Tran', 'Ashok Cutkosky']",poster,"['differential privacy', 'momentum', 'non-convex optimization', 'ERM', 'tree-aggregation']","We introduce new algorithms and convergence guarantees for privacy-preserving non-convex Empirical Risk Minimization (ERM) on smooth $d$-dimensional objectives. We develop an improved sensitivity analysis of stochastic gradient descent on smooth objectives that exploits the recurrence of examples in different epochs. By combining this new approach with recent analysis of momentum with private aggregation techniques, we provide an $(\epsilon,\delta)$-differential private algorithm that finds a gradient of norm $O\left(\frac{d^{1/3}}{(\epsilon N)^{2/3}}\right)$ in $O\left(\frac{N^{7/3}\epsilon^{4/3}}{d^{2/3}}\right)$ gradient evaluations, improving the previous best gradient bound of $\tilde O\left(\frac{d^{1/4}}{\sqrt{\epsilon N}}\right)$.",https://api.openreview.net/pdf/cdecfff58c3dd8e81d2b8f6abcb014b9f90df323.pdf,llm,https://scholar.google.com/scholar?q=Momentum+Aggregation+for+Private+Non-convex+ERM
Memorization Without Overfitting:  Analyzing the Training Dynamics of Large Language Models,2022,NIPS,"['Kushal Tirumala', 'Aram H. Markosyan', 'Luke Zettlemoyer', 'Armen Aghajanyan']",poster,[],"Despite their wide adoption, the underlying training and memorization dynamics of very large language models is not well understood. We empirically study exact memorization in causal and masked language modeling, across model sizes and throughout the training process. We measure the effects of dataset size, learning rate, and model size on memorization, finding that larger language models memorize training data faster across all settings. Surprisingly, we show that larger models can memorize a larger portion of the data before over-fitting and tend to forget less throughout the training process. We also analyze the memorization dynamics of different parts of speech and find that models memorize nouns and numbers first; we hypothesize and provide empirical evidence that nouns and numbers act as a unique identifier for memorizing individual training examples. Together, these findings present another piece of the broader puzzle of trying to understand what actually improves as models get bigger.",https://api.openreview.net/pdf/759ba7b66f25eb8aceac5ae59a4cfe2b76b2abca.pdf,llm,https://scholar.google.com/scholar?q=Memorization+Without+Overfitting:++Analyzing+the+Training+Dynamics+of+Large+Language+Models
Posterior and Computational Uncertainty in Gaussian Processes,2022,NIPS,"['Jonathan Wenger', 'Geoff Pleiss', 'Marvin Pförtner', 'Philipp Hennig', 'John Patrick Cunningham']",poster,"['Gaussian processes', 'computational uncertainty', 'numerical methods', 'probabilistic numerics', 'probabilistic linear solvers']","Gaussian processes scale prohibitively with the size of the dataset. In response, many approximation methods have been developed, which inevitably introduce approximation error. This additional source of uncertainty, due to limited computation, is entirely ignored when using the approximate posterior. Therefore in practice, GP models are often as much about the approximation method as they are about the data. Here, we develop a new class of methods that provides consistent estimation of the combined uncertainty arising from both the finite number of data observed and the finite amount of computation expended. The most common GP approximations map to an instance in this class, such as methods based on the Cholesky factorization, conjugate gradients, and inducing points. For any method in this class, we prove (i) convergence of its posterior mean in the associated RKHS, (ii) decomposability of its combined posterior covariance into mathematical and computational covariances, and (iii) that the combined variance is a tight worst-case bound for the squared error between the method's posterior mean and the latent function. Finally, we empirically demonstrate the consequences of ignoring computational uncertainty and show how implicitly modeling it improves generalization performance on benchmark datasets.",https://api.openreview.net/pdf/8fb82faf34781812b11a6a533384c837d44552a4.pdf,llm,https://scholar.google.com/scholar?q=Posterior+and+Computational+Uncertainty+in+Gaussian+Processes
Discrete-Convex-Analysis-Based Framework for Warm-Starting Algorithms with Predictions,2022,NIPS,"['Shinsaku Sakaue', 'Taihei Oki']",poster,"['combinatorial optimization', 'discrete convex analysis', 'algorithms with predictions', 'time complexity']","Augmenting algorithms with learned predictions is a promising approach for going beyond worst-case bounds. Dinitz, Im, Lavastida, Moseley, and Vassilvitskii~(2021) have demonstrated that warm-starts with learned dual solutions can improve the time complexity of the Hungarian method for weighted perfect bipartite matching. We extend and improve their framework in a principled manner via \textit{discrete convex analysis} (DCA), a discrete analog of convex analysis. We show the usefulness of our DCA-based framework by applying it to weighted perfect bipartite matching, weighted matroid intersection, and discrete energy minimization for computer vision. Our DCA-based framework yields time complexity bounds that depend on the $\ell_\infty$-distance from a predicted solution to an optimal solution, which has two advantages relative to the previous $\ell_1$-distance-dependent bounds: time complexity bounds are smaller, and learning of predictions is more sample efficient. We also discuss whether to learn primal or dual solutions from the DCA perspective.",https://api.openreview.net/pdf/3a2f50d639d1448c94a2940d154c4d4e9240851e.pdf,llm,https://scholar.google.com/scholar?q=Discrete-Convex-Analysis-Based+Framework+for+Warm-Starting+Algorithms+with+Predictions
Comparing Distributions by Measuring Differences that Affect Decision Making,2022,ICLR,"['Shengjia Zhao', 'Abhishek Sinha', 'Yutong He', 'Aidan Perreault', 'Jiaming Song', 'Stefano Ermon']",oral,"['probability divergence', 'two sample test', 'generative model']","Measuring the discrepancy between two probability distributions is a fundamental problem in machine learning and statistics. We propose a new class of discrepancies based on the optimal loss for a decision task -- two distributions are different if the optimal decision loss is higher on their mixture than on each individual distribution. By suitably choosing the decision task, this generalizes the Jensen-Shannon divergence and the maximum mean discrepancy family. We apply our approach to two-sample tests, and on various benchmarks, we achieve superior test power compared to competing methods. In addition, a modeler can directly specify their preferences when comparing distributions through the decision loss. We apply this property to understanding the effects of climate change on different social and economic activities, evaluating sample quality, and selecting features targeting different decision tasks.",https://api.openreview.net/pdf/e99719a7a6796b569cc6afdf6f42024d0df2fbea.pdf,llm,https://scholar.google.com/scholar?q=Comparing+Distributions+by+Measuring+Differences+that+Affect+Decision+Making
VC dimension of partially quantized neural networks in the overparametrized regime,2022,ICLR,"['Yutong Wang', 'Clayton Scott']",poster,"['VC dimension', 'quantized neural networks', 'classification', 'minimax theory', 'overparametrization']","Vapnik-Chervonenkis (VC) theory has so far been unable to explain the small generalization error of overparametrized neural networks. Indeed, existing applications of VC theory to large networks obtain upper bounds on VC dimension that are proportional to the number of weights, and for a large class of networks, these upper bound are known to be tight. In this work, we focus on a class of partially quantized networks that we refer to as hyperplane arrangement neural networks (HANNs). Using a sample compression analysis, we show that HANNs can have VC dimension significantly smaller than the number of weights, while being highly expressive. In particular, empirical risk minimization over HANNs in the overparametrized regime achieves the minimax rate for classification with Lipschitz posterior class probability. We further demonstrate the expressivity of HANNs empirically. On a panel of 121 UCI datasets, overparametrized HANNs are able to match the performance of state-of-the-art full-precision models.",https://api.openreview.net/pdf/9760187606b3496a5f4a0fe752a22416bb4a2e21.pdf,llm,https://scholar.google.com/scholar?q=VC+dimension+of+partially+quantized+neural+networks+in+the+overparametrized+regime
The Role of Permutation Invariance in Linear Mode Connectivity of Neural Networks,2022,ICLR,"['Rahim Entezari', 'Hanie Sedghi', 'Olga Saukh', 'Behnam Neyshabur']",poster,"['Permutation', 'Invariance', 'Mode Connectivity', 'Energy Barrier', 'Loss landscape', 'Deep Learning']","In this paper, we conjecture that if the permutation invariance of neural networks is taken into account, SGD solutions will likely have no barrier in the linear interpolation between them. Although it is a bold conjecture, we show how extensive empirical attempts fall short of refuting it. We further provide a preliminary theoretical result to support our conjecture. Our conjecture has implications for the lottery ticket hypothesis, distributed training, and ensemble methods. The source code is available at \url{https://github.com/rahimentezari/PermutationInvariance}.",https://api.openreview.net/pdf/a575dfe6923ea65c17895fd63d13fc299132536f.pdf,llm,https://scholar.google.com/scholar?q=The+Role+of+Permutation+Invariance+in+Linear+Mode+Connectivity+of+Neural+Networks
Non-Linear Operator Approximations for Initial Value Problems,2022,ICLR,"['Gaurav Gupta', 'Xiongye Xiao', 'Radu Balan', 'Paul Bogdan']",poster,"['exponential operators', 'initial value problem', 'pade approximation', 'multiwavelets', 'partial differential equations']","Time-evolution of partial differential equations is the key to model several dynamical processes, events forecasting but the operators associated with such problems are non-linear. We propose a Padé approximation based exponential neural operator scheme for efficiently learning the map between a given initial condition and activities at a later time. The multiwavelets bases are used for space discretization. By explicitly embedding the exponential operators in the model, we reduce the training parameters and make it more data-efficient which is essential in dealing with scarce real-world datasets. The Padé exponential operator uses a $\textit{recurrent structure with shared parameters}$ to model the non-linearity compared to recent neural operators that rely on using multiple linear operator layers in succession. We show theoretically that the gradients associated with the recurrent Padé network are bounded across the recurrent horizon. We perform experiments on non-linear systems such as Korteweg-de Vries (KdV) and Kuramoto–Sivashinsky (KS) equations to show that the proposed approach achieves the best performance and at the same time is data-efficient. We also show that urgent real-world problems like Epidemic forecasting (for example, COVID-19) can be formulated as a 2D time-varying operator problem. The proposed Padé exponential operators yield better prediction results ($\textbf{53\%} (\textbf{52\%})$ better MAE than best neural operator (non-neural operator deep learning model)) compared to state-of-the-art forecasting models.",https://api.openreview.net/pdf/64034193e19bb69648d9e3ed9301e225d08d08fe.pdf,llm,https://scholar.google.com/scholar?q=Non-Linear+Operator+Approximations+for+Initial+Value+Problems
On the relation between statistical learning and perceptual distances,2022,ICLR,"['Alexander Hepburn', 'Valero Laparra', 'Raul Santos-Rodriguez', 'Johannes Ballé', 'Jesus Malo']",spotlight,[],"It has been demonstrated many times that the behavior of the human visual system is connected to the statistics of natural images. Since machine learning relies on the statistics of training data as well, the above connection has interesting implications when using perceptual distances (which mimic the behavior of the human visual system) as a loss function. In this paper, we aim to unravel the non-trivial relationships between the probability distribution of the data, perceptual distances, and unsupervised machine learning. To this end, we show that perceptual sensitivity is correlated with the probability of an image in its close neighborhood. We also explore the relation between distances induced by autoencoders and the probability distribution of the training data, as well as how these induced distances are correlated with human perception. Finally, we find perceptual distances do not always lead to noticeable gains in performance over Euclidean distance in common image processing tasks, except when data is scarce and the perceptual distance provides regularization. We propose this may be due to a double-counting effect of the image statistics, once in the perceptual distance and once in the training procedure.",https://api.openreview.net/pdf/12c717193deff83fed4cdbbc207d6c4ffebad63e.pdf,llm,https://scholar.google.com/scholar?q=On+the+relation+between+statistical+learning+and+perceptual+distances
Imbedding Deep Neural Networks,2022,ICLR,"['Andrew Corbett', 'Dmitry Kangin']",spotlight,"['Neural ODEs', 'Optimal Control', 'Deep Neural Networks', 'Invariant Imbedding']","Continuous-depth neural networks, such as Neural ODEs, have refashioned the understanding of residual neural networks in terms of non-linear vector-valued optimal control problems. The common solution is to use the adjoint sensitivity method to replicate a forward-backward pass optimisation problem. We propose a new approach which explicates the network's `depth' as a fundamental variable, thus reducing the problem to a system of forward-facing initial value problems. This new method is based on the principal of `Invariant Imbedding' for which we prove a general solution, applicable to all non-linear, vector-valued optimal control problems with both running and terminal loss.
Our new architectures provide a tangible tool for inspecting the theoretical--and to a great extent unexplained--properties of network depth. They also constitute a resource of discrete implementations of Neural ODEs comparable to classes of imbedded residual neural networks. Through a series of experiments, we show the competitive performance of the proposed architectures for supervised learning and time series prediction. ",https://api.openreview.net/pdf/2696810601b722fa25baf9dd6ed1280d43c1c474.pdf,llm,https://scholar.google.com/scholar?q=Imbedding+Deep+Neural+Networks
